ROCK NAME,DESCRIPTION
Gabbro,coarse medium to dark no quartz may have olivine made up of high calcium plagioclase minerals
Gabbro,"coarse-grained, dark-colored intrusive igneous rock composed mainly of plagioclase feldspar and pyroxene minerals."
Gabbro,An intrusive igneous rock commonly found in layered intrusions or as plutonic masses.
Gabbro,Dark-colored intrusive igneous rock found in oceanic crust and continental intrusions.
Gabbro,"igneous rock with a phaneritic structure, composed of coarse-grained plagioclase feldspar and pyroxene minerals."
Gabbro,"coarse-grained intrusive igneous rock composed mainly of pyroxene, plagioclase feldspar, and sometimes olivine or amphibole."
Gabbro,Coarse-grained rock with a uniform granular texture.
Gabbro,an intrusive igneous rock that is composed primarily of plagioclase feldspar and pyroxene minerals.
Gabbro,It is usually dark-colored with a coarse-grained texture.
Gabbro,"igneous rock with a phaneritic fabric, composed of coarse-grained plagioclase feldspar and pyroxene minerals."
Gabbro,Coarse-grained intrusive igneous rock composed of plagioclase feldspar and pyroxene minerals.
Gabbro,"A coarse-grained intrusive igneous rock composed mainly of plagioclase feldspar and pyroxene minerals, typically dark in color and found in oceanic crust and plutonic complexes."
Gabbro,"coarse-grained, dark-colored intrusive igneous rock composed mainly of plagioclase feldspar and pyroxene minerals."
Gabbro,"A coarse-grained intrusive igneous rock composed primarily of plagioclase feldspar and pyroxene minerals, typically dark in color."
Gabbro,intrusive igneous rock composed mainly of plagioclase feldspar and one or more mafic minerals such as pyroxene or olivine.
Gabbro,"igneous rock with a phaneritic structure, composed of coarse-grained plagioclase feldspar and pyroxene minerals."
Gneiss,Metamorphic rock with a banded or foliated texture.
Gneiss,is a metamorphic rock that forms from other rocks such as granite or shale.
Gneiss,Various colors (often banded) metamorphic rock found in regional metamorphic terrains.
Gneiss,A metamorphic rock that forms from other rocks under high temperature and pressure conditions.
Gneiss,"metamorphic rock characterized by alternating bands of different mineral compositions, formed through the intense metamorphism of pre-existing rocks."
Gneiss,metamorphic rock that forms from other rocks under high temperature and pressure conditions.
Gneiss,"metamorphic rock with a foliated fabric, displaying distinct layering or banding resulting from the recrystallization of pre-existing minerals."
Gneiss,Various colors (often banded) metamorphic rock found in regional metamorphic terrains.
Gneiss,"A metamorphic rock with a foliated structure, displaying distinct layering or banding resulting from the recrystallization of pre-existing minerals."
Gneiss,It is usually banded in appearance and has a coarse-grained texture.
Gneiss,"A foliated metamorphic rock characterized by alternating layers of different minerals, resulting in a banded appearance."
Gneiss,"foliated metamorphic rock with distinct bands or layers, typically composed of minerals like quartz, feldspar, and mica."
Gneiss,"foliated metamorphic rock with distinct layering or banding formed through intense heat and pressure, exhibiting various mineral compositions and textures."
Gneiss,foliated coarse mixed banded
Gneiss,"metamorphic rock with a foliated structure, displaying distinct layering or banding resulting from the recrystallization of pre-existing minerals."
Gneiss,"banded metamorphic rock with distinct layers or bands of different minerals, often displaying a granular or striped appearance."
Gneiss,"coarse-grained metamorphic rock exhibiting a banded appearance, with colors that can vary depending on the mineral composition."
Gneiss,Foliated metamorphic rock exhibiting distinct banding of different minerals.
Gneiss,"banded metamorphic rock with distinct layers or bands of different minerals, often displaying a granular or striped appearance."
Gneiss,foliated coarse mixed banded
Granite,"A coarse-grained igneous rock composed of quartz, feldspar, and mica minerals, widely used in construction and monuments."
Granite," a coarse-grained, light-colored, intrusive igneous rock that contains mainly quartz, feldspar, and mica minerals"
Granite,"coarse-grained intrusive igneous rock composed primarily of quartz, feldspar, and mica, commonly used in construction."
Granite,Coarse-grained rock with a granular or speckled texture.
Granite,Light-colored intrusive igneous rock found in continental crust and mountainous regions.
Granite,"coarse-grained intrusive igneous rock composed primarily of quartz, feldspar, and mica, commonly used in construction."
Granite,"An igneous rock with a phaneritic fabric, characterized by coarse-grained interlocking crystals of quartz, feldspar, and mica."
Granite,coarse light wide range of color and grain size contains feldspar and quartz with minor micaand amphibole
Granite,intrusive igneous rock formed from the slow cooling and crystallization of magma deep within the Earth's crust.
Granite,"coarse-grained intrusive igneous rock composed of quartz, feldspar, and mica minerals, widely used in construction and as a dimension stone."
Granite,Light-colored intrusive igneous rock found in continental crust and mountainous regions.
Granite,"is an intrusive igneous rock that is composed primarily of quartz, feldspar, and mica minerals."
Granite,"igneous rock with a phaneritic structure, characterized by coarse-grained interlocking crystals of quartz, feldspar, and mica."
Granite,"Coarse-grained intrusive igneous rock composed mainly of quartz, feldspar, and mica."
Granite,coarse light wide range of color and grain size contains feldspar and quartz with minor micaand amphibole
Granite,It is usually light-colored with a coarse-grained texture.
Granite,"coarse-grained intrusive igneous rock composed of quartz, feldspar, and mica minerals, often exhibiting speckled patterns and a variety of colors."
Granite,"intrusive igneous rock composed of quartz, feldspar, and mica minerals, with additional minerals such as amphibole or biotite."
Granite,"igneous rock with a phaneritic structure, characterized by coarse-grained interlocking crystals of quartz, feldspar, and mica."
Granite,"An intrusive igneous rock composed mainly of quartz, feldspar, and mica minerals."
Granulite,"A high-grade metamorphic rock formed through the intense heat and pressure applied to pre-existing rocks, often found in deep crustal regions."
Granulite,"A high-temperature metamorphic rock with a granular texture, formed under extreme conditions and often associated with deep crustal processes."
Granulite,"High-temperature metamorphic rock with various colors, found in granulite facies terrains."
Granulite,"coarse-grained texture composed of minerals such as feldspar, pyroxene, and garnet, and often exhibits a banded or layered appearance."
Granulite,"metamorphic rock with a granoblastic structure, composed mainly of granular minerals such as quartz, feldspar, and mica."
Granulite,"coarse-grained texture composed of minerals such as feldspar, pyroxene, and garnet, and often exhibits a banded or layered appearance."
Granulite,"coarse-grained metamorphic rock characterized by its granular texture, often composed of minerals such as quartz, feldspar, and pyroxene"
Granulite,A high-grade metamorphic rock that forms under extreme temperature and pressure conditions.
Granulite,"high-grade metamorphic rock with a granular texture, often composed of minerals such as feldspar, pyroxene, and quartz."
Granulite,"High-temperature metamorphic rock with various colors, found in granulite facies terrains."
Granulite,"High-grade metamorphic rock composed of granular minerals like feldspar, pyroxene, and quartz."
Granulite,"metamorphic rock with a granoblastic structure, composed mainly of granular minerals such as quartz, feldspar, and mica."
Granulite,"high-grade metamorphic rock characterized by the presence of granular minerals like quartz, feldspar, and pyroxene."
Granulite,high-grade metamorphic rock that forms under extreme temperature and pressure conditions.
Granulite,"is a high-grade metamorphic rock that forms under high-pressure, high-temperature conditions."
Granulite,"high-temperature and high-pressure metamorphic rock with a granular texture, often composed of minerals such as quartz, feldspar, and pyroxene."
Granulite,"metamorphic rock with a granoblastic fabric, composed mainly of granular minerals such as quartz, feldspar, and mica."
Granulite,Metamorphic rock with a granular or crystalline texture.
Granulite,It is usually composed of feldspar and pyroxene minerals and has a granular texture
Granulite,"high-grade metamorphic rock with a granular texture, often composed of minerals such as feldspar, pyroxene, and quartz."
Greenschist,"fine-grained metamorphic rock with a green color, typically composed of minerals like chlorite and epidote."
Greenschist,"A metamorphic rock formed under low- to medium-grade metamorphism, commonly associated with regional metamorphic events."
Greenschist, A metamorphic rock that forms under low to moderate temperature and pressure conditions.
Greenschist,"A metamorphic rock with a green color caused by minerals such as chlorite and epidote, formed under low to medium-grade metamorphic conditions."
Greenschist,"metamorphic rock characterized by its green color due to the presence of minerals like chlorite or actinolite, often with additional minerals like plagioclase feldspar or epidote."
Greenschist,metamorphic rock that forms under low to moderate temperature and pressure conditions.
Greenschist,Metamorphic rock containing green-colored minerals such as chlorite and epidote.
Greenschist,Green-colored metamorphic rock found in low-temperature metamorphic zones.
Greenschist,"green color and has a foliated texture. It is composed primarily of minerals such as chlorite, epidote, and actinolite. "
Greenschist,"foliated metamorphic rock characterized by its green color, usually containing minerals such as chlorite, epidote, and actinolite."
Greenschist,"green color and has a foliated texture. It is composed primarily of minerals such as chlorite, epidote, and actinolite. "
Greenschist,It is usually green in color and has a fine-grained texture.
Greenschist,"metamorphic rock with a foliated structure, exhibiting a green color due to the presence of minerals like chlorite and epidote."
Greenschist,"rock that forms under low-pressure, low-temperature conditions"
Greenschist,Metamorphic rock with a smooth or foliated texture.
Greenschist,"metamorphic rock with a foliated structure, exhibiting a green color due to the presence of minerals like chlorite and epidote."
Greenschist,"metamorphic rock with a foliated fabric, exhibiting a green color due to the presence of minerals like chlorite and epidote."
Greenschist,"metamorphic rock displaying a green color due to the presence of minerals like chlorite and epidote, formed under low to moderate metamorphic conditions."
Greenschist,"A foliated metamorphic rock characterized by its green color, usually containing minerals such as chlorite, epidote, and actinolite."
Greenschist,Green-colored metamorphic rock found in low-temperature metamorphic zones.
Greywacke,"Gray-colored sedimentary rock composed of sand-sized particles and rock fragments, found in turbidite sequences."
Greywacke, clastic sedimentary rock composed of angular fragments larger than 2 millimeters in diameter.
Greywacke,"dark, gritty sedimentary rock composed of sand-sized particles and larger rock fragments, commonly found in mountainous regions."
Greywacke,"A sedimentary rock composed of a mixture of sand-sized grains and smaller clay or silt particles, often exhibiting a gray color."
Greywacke,"sedimentary rock composed of a mix of different-sized rock fragments and mineral grains, often found in turbidite sequences or submarine fan deposits."
Greywacke,is a clastic sedimentary rock that is composed of angular fragments of other rocks that have been cemented together.
Greywacke,hard or soft mixed grain size mixed rock sediment with rock grains gray dark and dirty looking
Greywacke,"coarse-grained sedimentary rock with a gray color, composed of sand-sized grains and smaller clay or silt particles."
Greywacke,"sedimentary rock with a clastic structure, composed of sand-sized grains of various minerals within a muddy matrix."
Greywacke,"Dark, gritty sedimentary rock composed of sand-sized particles and rock fragments."
Greywacke,hard or soft mixed grain size mixed rock sediment with rock grains gray dark and dirty looking
Greywacke,"A sedimentary rock composed of a mixture of sand-sized grains and smaller clay or silt particles, commonly gray in color and often found in turbidite sequences."
Greywacke,"Gray-colored sedimentary rock composed of sand-sized particles and rock fragments, found in turbidite sequences."
Greywacke,"sedimentary rock with a clastic structure, composed of sand-sized grains of various minerals within a muddy matrix."
Greywacke,"coarse-grained sedimentary rock composed of sand-sized grains and smaller particles, often with a mix of minerals like quartz, feldspar, and rock fragments."
Greywacke,A clastic sedimentary rock composed of angular fragments larger than 2 millimeters in diameter.
Greywacke,"sedimentary rock with a clastic fabric, composed of sand-sized grains of various minerals within a muddy matrix."
Greywacke,"dark, gritty sedimentary rock composed of sand-sized particles and larger rock fragments, commonly found in mountainous regions."
Greywacke,It can be composed of any type of rock fragments and usually has a gray color.
Greywacke,Coarse-grained rock with a gritty or sandy texture.
Hornfels,A metamorphic rock that forms from other rocks under high temperature and pressure conditions.
Hornfels, It is usually fine-grained and has no visible mineral grains.
Hornfels,Fine-grained metamorphic rock formed by contact metamorphism of pre-existing rocks.
Hornfels,"Various colors (often dark) rock formed by contact metamorphism, found near intrusive igneous bodies."
Hornfels,metamorphic rock that forms from other rocks under high temperature and pressure conditions.
Hornfels,non foliated fine or coarse dark dulland opaque colors found near intrusions
Hornfels,"is a metamorphic rock that forms from other rocks such as shale or sandstone under high-pressure, low-temperature conditions"
Hornfels,"fine-grained metamorphic rock formed by the contact metamorphism of existing rocks, resulting in a non-foliated texture and commonly occurring near intrusive igneous bodies."
Hornfels,"A fine-grained metamorphic rock resulting from the contact metamorphism of pre-existing rocks, typically composed of minerals like quartz, feldspar, and mica."
Hornfels,"metamorphic rock with a non-foliated fabric, formed by the recrystallization of pre-existing rocks due to contact metamorphism."
Hornfels,"fine-grained metamorphic rock formed by the contact metamorphism of pre-existing rocks, often displaying a non-foliated texture."
Hornfels,non foliated fine or coarse dark dulland opaque colors found near intrusions
Hornfels,Fine-grained rock with a non-foliated or granular texture.
Hornfels,"fine-grained metamorphic rock with a variety of colors, including gray, brown, and black, often formed by contact metamorphism."
Hornfels,"fine-grained metamorphic rock formed by the contact metamorphism of pre-existing rocks, often displaying a non-foliated texture."
Hornfels,"metamorphic rock with a non-foliated structure, formed by the recrystallization of pre-existing rocks due to contact metamorphism."
Hornfels,"A fine-grained metamorphic rock formed by the contact metamorphism of sedimentary or volcanic rocks, characterized by a non-foliated texture."
Hornfels,"metamorphic rock with a non-foliated structure, formed by the recrystallization of pre-existing rocks due to contact metamorphism."
Hornfels,"metamorphic rock formed through the contact metamorphism of pre-existing rocks, typically near igneous intrusions."
Hornfels,"Various colors (often dark) rock formed by contact metamorphism, found near intrusive igneous bodies."
Komatite,"fine-grained volcanic rock with a dark green to black color, typically composed of magnesium-rich minerals."
Komatite,Dark-colored ultramafic volcanic rock found in komatiite lava flows.
Komatite,Ultramafic volcanic rock with a high magnesium content and typically green in color.
Komatite,"ultramafic volcanic rock with a high magnesium content, typically dark green in color and associated with volcanic regions."
Komatite,"igneous rock with a porphyritic fabric, containing large phenocrysts embedded in a fine-grained matrix and enriched in olivine and pyroxene minerals."
Komatite,"ultramafic volcanic rock that is rich in magnesium and iron. It is typically fine-grained and dark green in color, with a high content of olivine and pyroxene minerals"
Komatite,"An igneous rock with a porphyritic structure, containing large phenocrysts embedded in a fine-grained matrix and enriched in olivine and pyroxene minerals."
Komatite,"igneous rock with a porphyritic structure, containing large phenocrysts embedded in a fine-grained matrix and enriched in olivine and pyroxene minerals."
Komatite,"An ultramafic volcanic rock characterized by high magnesium and iron content, typically associated with ancient volcanic activity."
Komatite,extrusive igneous rock that is very rare and has a high magnesium content.
Komatite,Ultramafic rock with a fine-grained or glassy texture.
Komatite,Dark-colored ultramafic volcanic rock found in komatiite lava flows.
Komatite,"An ultramafic volcanic rock with a high magnesium content, typically dark green in color and associated with volcanic regions."
Komatite,"ultramafic volcanic rock formed during ancient, extremely high-temperature volcanic activity."
Komatite,It is usually dark-colored with a fine-grained texture.
Komatite,"An ultramafic volcanic rock with a high magnesium content, typically exhibiting a spinifex texture and associated with ancient komatiitic lava flows."
Komatite,An extrusive igneous rock that is very rare and has a high magnesium content.
Komatite,"rare ultramafic volcanic rock with high magnesium content, primarily composed of olivine and pyroxene minerals."
Komatite,"ultramafic volcanic rock that is rich in magnesium and iron. It is typically fine-grained and dark green in color, with a high content of olivine and pyroxene minerals"
Komatite, is an extrusive igneous rock that is composed primarily of olivine and pyroxene minerals
Limestone,"sedimentary rock primarily composed of calcite or aragonite minerals, often formed from the accumulation of marine shells and used in construction and lime production."
Limestone,"A sedimentary rock mainly composed of calcite minerals, often formed from the accumulation of marine shells and coral."
Limestone,sedimentary rock composed mainly of the mineral calcite
Limestone,"sedimentary rock primarily composed of calcite or aragonite minerals, often with additional minerals like clay, quartz, or fossil fragments."
Limestone,"Sedimentary rock primarily composed of calcium carbonate, often formed from marine organisms."
Limestone,"sedimentary rock primarily composed of calcite or aragonite minerals, often exhibiting white, gray, or beige colors."
Limestone,is a sedimentary rock that is composed primarily of the mineral calcite (CaCO3)
Limestone,soft fine calcite fizzes with acid
Limestone,"sedimentary rock with a bioclastic structure, primarily composed of calcium carbonate derived from the accumulation of shells and skeletons of marine organisms."
Limestone,soft fine calcite fizzes with acid
Limestone,"sedimentary rock composed mainly of calcium carbonate, often formed from the accumulation of shells and marine organisms."
Limestone,Sedimentary rock with a compact or granular texture.
Limestone,"sedimentary rock with a bioclastic structure, primarily composed of calcium carbonate derived from the accumulation of shells and skeletons of marine organisms."
Limestone,"Various colors (often white) sedimentary rock composed of calcium carbonate, found in marine environments."
Limestone,"sedimentary rock primarily composed of calcium carbonate, commonly formed in marine environments or as a result of chemical precipitation."
Limestone,It can be white to gray to yellow in color and has a dull luster.
Limestone,A sedimentary rock composed mainly of the mineral calcite (calcium carbonate).
Limestone,"sedimentary rock composed mainly of calcium carbonate, often formed from the accumulation of shells and marine organisms."
Limestone,"Various colors (often white) sedimentary rock composed of calcium carbonate, found in marine environments."
Limestone,"sedimentary rock with a bioclastic fabric, primarily composed of calcium carbonate derived from the accumulation of shells and skeletons of marine organisms."
Marble,"metamorphic rock derived from limestone or dolomite, characterized by its smooth texture and a variety of colors and patterns."
Marble,"A metamorphic rock derived from limestone or dolomite, exhibiting a characteristic veined and polished appearance."
Marble,"metamorphic rock with a crystalline structure, formed from the recrystallization of limestone or dolomite."
Marble,"metamorphic rock derived from limestone or dolomite, characterized by its smooth texture and a variety of colors and patterns."
Marble,"Metamorphic rock derived from limestone or dolomite, characterized by a smooth texture."
Marble,"metamorphic rock derived from limestone or dolomite, primarily composed of calcite or dolomite minerals."
Marble,"metamorphic rock derived from limestone or dolomite, with a range of colors including white, gray, and various shades of pink and green."
Marble,A metamorphic rock that forms from limestone under high temperature and pressure conditions.
Marble,"metamorphic rock formed from the recrystallization of limestone or dolomite, often associated with regional metamorphic processes."
Marble,"Various colors (often white) metamorphic rock derived from limestone or dolomite, found in marble deposits."
Marble,It can be white to pink to gray in color and has a smooth texture.
Marble,metamorphic rock that forms from limestone under high temperature and pressure conditions.
Marble,"metamorphic rock with a crystalline structure, formed from the recrystallization of limestone or dolomite."
Marble,non foliated coarse light soft calcite or dolomite by acid test
Marble,Metamorphic rock with a smooth or crystalline texture.
Marble," is a metamorphic rock that forms from limestone or dolomite under high-pressure, low-temperature conditions."
Marble,"Various colors (often white) metamorphic rock derived from limestone or dolomite, found in marble deposits."
Marble,"metamorphic rock with a crystalline fabric, formed from the recrystallization of limestone or dolomite."
Marble,"metamorphic rock derived from limestone or dolomite, characterized by its distinctive veined appearance and often used in sculpture and architecture."
Marble,non foliated coarse light soft calcite or dolomite by acid test
Migmatite,"A complex rock composed of both metamorphic and igneous components, resulting from the partial melting and recrystallization of a pre-existing rock."
Migmatite,"mixed rock with a mixed structure, exhibiting both igneous and metamorphic components, often displaying alternating bands of different mineral assemblages."
Migmatite,"complex rock exhibiting both metamorphic and igneous characteristics, often displaying a range of colors and grain sizes."
Migmatite,"mixed rock with a mixed fabric, exhibiting both igneous and metamorphic components, often displaying alternating bands of different mineral assemblages."
Migmatite,"A complex rock displaying both metamorphic and igneous characteristics, formed through partial melting and subsequent re-solidification of pre-existing rocks."
Migmatite,"Rock with mixed light and dark-colored layers, found in areas of intense metamorphism."
Migmatite,"complex rock with both metamorphic and igneous characteristics, often containing minerals like quartz, feldspar, mica, and garnet."
Migmatite,foliated coarse mixed distorted melted layers
Migmatite,"mixed rock with a mixed structure, exhibiting both igneous and metamorphic components, often displaying alternating bands of different mineral assemblages."
Migmatite,"sedimentary rock composed mainly of calcium carbonate, often formed from the accumulation of shells and marine organisms."
Migmatite,"Rock with mixed light and dark-colored layers, found in areas of intense metamorphism."
Migmatite,metamorphic rocks that have been partially melted and then recrystallized into new minerals. 
Migmatite,Complex metamorphic rock displaying both foliated and non-foliated characteristics.
Migmatite,They are usually composed of feldspar and quartz minerals with bands of darker minerals such as biotite or hornblende visible throughout the rock.
Migmatite,A metamorphic rock that has both igneous and metamorphic characteristics.
Migmatite,Metamorphic rock with a mixed or variably textured appearance.
Migmatite,"complex metamorphic rock exhibiting both foliated and non-foliated characteristics, typically formed under high-grade metamorphic conditions"
Migmatite, metamorphic rock that has both igneous and metamorphic characteristics.
Migmatite,"complex metamorphic rock exhibiting both foliated and non-foliated characteristics, typically formed under high-grade metamorphic conditions."
Migmatite,foliated coarse mixed distorted melted layers
Mudstone,A fine-grained sedimentary rock composed mainly of clay minerals.
Mudstone,"fine-grained sedimentary rock composed primarily of clay and silt-sized particles. It has a smooth, compact texture and is commonly gray, brown, or green in color. "
Mudstone,"fine-grained sedimentary rock composed of compacted mud or clay particles, often exhibiting a smooth or layered appearance."
Mudstone,"sedimentary rock with a clastic fabric, composed of fine-grained mud-sized particles compacted together."
Mudstone,"sedimentary rock with a clastic structure, composed of fine-grained mud-sized particles compacted together."
Mudstone,"fine-grained sedimentary rock formed from the deposition and compaction of mud or silt-sized particles, often found in lake or marine environments."
Mudstone,"Various colors (often gray) fine-grained sedimentary rock composed of mud or clay, found in sedimentary basins."
Mudstone,It can be gray to black in color and has a dull luster.
Mudstone,"fine-grained sedimentary rock composed of clay and silt-sized particles, often exhibiting various shades of gray or brown."
Mudstone,"fine-grained sedimentary rock composed of clay and silt-sized particles, often with minerals like quartz, feldspar, and mica."
Mudstone,"Various colors (often gray) fine-grained sedimentary rock composed of mud or clay, found in sedimentary basins."
Mudstone,"fine-grained sedimentary rock composed of clay and silt-sized particles, often exhibiting a smooth texture and commonly associated with shale."
Mudstone,"sedimentary rock with a clastic structure, composed of fine-grained mud-sized particles compacted together."
Mudstone,Fine-grained sedimentary rock composed of compacted mud or clay particles.
Mudstone,"fine-grained sedimentary rock composed primarily of clay and silt-sized particles. It has a smooth, compact texture and is commonly gray, brown, or green in color. "
Mudstone,"fine-grained sedimentary rock composed of compacted mud or clay particles, often exhibiting a smooth or layered appearance."
Mudstone,Fine-grained sedimentary rock with a smooth or compacted texture.
Mudstone,is a fine-grained sedimentary rock that is composed primarily of clay minerals such as illite or smectite.
Mudstone,"A fine-grained sedimentary rock composed of clay and silt-sized particles, often forming in low-energy depositional environments."
Mudstone,fine-grained sedimentary rock composed mainly of clay minerals
Obsidian,"A natural glass formed from the rapid cooling of lava, lacking crystalline structure and typically dark in color."
Obsidian,"Black or dark-colored volcanic glass formed from rapid cooling of lava, found in volcanic regions."
Obsidian,An extrusive igneous rock that is glassy in texture and forms when lava cools quickly.
Obsidian,"Black or dark-colored volcanic glass formed from rapid cooling of lava, found in volcanic regions."
Obsidian,Volcanic glass with a smooth and glassy texture
Obsidian,"natural volcanic glass formed through the rapid cooling of lava, lacking a crystalline structure and typically exhibiting a shiny, black appearance."
Obsidian,"natural volcanic glass formed by the rapid cooling of lava, commonly dark in color and featuring a glassy texture."
Obsidian,"volcanic rock with a glassy fabric, formed by the rapid cooling of lava without crystallization."
Obsidian,extrusive igneous rock that is glassy in texture and forms when lava cools quickly.
Obsidian,"natural volcanic glass formed by the rapid cooling of lava, commonly dark in color and featuring a glassy texture."
Obsidian,a dark-colored volcanic glass that forms from the very rapid cooling of molten rock material. It cools so rapidly that crystals do not form
Obsidian,"natural volcanic glass formed from the rapid cooling of lava, primarily composed of silica."
Obsidian,"volcanic rock with a glassy structure, formed by the rapid cooling of lava without crystallization."
Obsidian,fine dark glassy apperance 
Obsidian,"volcanic glass with a smooth and uniform texture, typically black or dark brown in color."
Obsidian,"volcanic glass formed from the rapid cooling of lava, commonly associated with volcanic eruptions."
Obsidian,"Volcanic glass formed from rapidly cooled lava, typically dark in color."
Obsidian,Obsidian is an extrusive igneous rock that forms from lava that cools too quickly for crystals to form.
Obsidian,fine dark glassy apperance 
Obsidian,"volcanic rock with a glassy structure, formed by the rapid cooling of lava without crystallization."
Oil_shale,"sedimentary rock with a laminated structure, rich in organic matter from which liquid hydrocarbons can be extracted."
Oil_shale,"sedimentary rock with a laminated fabric, rich in organic matter from which liquid hydrocarbons can be extracted."
Oil_shale,"fine-grained sedimentary rock rich in organic matter, containing kerogen that can be extracted and processed to produce liquid hydrocarbons."
Oil_shale,"Sedimentary rock rich in organic material, containing kerogen precursor to oil."
Oil_shale,"Black or dark-colored sedimentary rock rich in organic material, found in shale deposits."
Oil_shale,rich in organic material called kerogen. It has a fine-grained texture and can vary in color from black to dark brown
Oil_shale,"sedimentary rock containing kerogen, a precursor to oil, often black or dark brown and rich in organic material."
Oil_shale,Sedimentary rock with a layered or laminated texture.
Oil_shale,"sedimentary rock containing kerogen, a precursor to oil, often black or dark brown and rich in organic material."
Oil_shale,"A sedimentary rock rich in organic matter, containing kerogen that can be converted into liquid hydrocarbons through heating."
Oil_shale,It is usually black or dark brown in color and has a dull luster.
Oil_shale, A sedimentary rock that contains organic matter (kerogen) which can be converted into oil through heating processes.
Oil_shale,sedimentary rock that contains organic matter (kerogen) which can be converted into oil through heating processes.
Oil_shale,"sedimentary rock with a fine-grained texture, often exhibiting black or dark gray colors due to its high organic matter content."
Oil_shale,"sedimentary rock with a laminated structure, rich in organic matter from which liquid hydrocarbons can be extracted."
Oil_shale,a sedimentary rock that contains organic matter that can be converted into oil through heating.
Oil_shale,rich in organic material called kerogen. It has a fine-grained texture and can vary in color from black to dark brown
Oil_shale,"sedimentary rock rich in organic matter, often found in sedimentary basins and potentially containing significant amounts of hydrocarbons"
Oil_shale,"Black or dark-colored sedimentary rock rich in organic material, found in shale deposits."
Oil_shale,"sedimentary rock rich in organic matter, often containing kerogen, which can yield hydrocarbons when heated."
Oolite,"sedimentary rock composed of small spherical grains called ooids, formed in shallow marine environments and often used in construction and road surfacing."
Oolite,"A sedimentary rock composed of small spherical grains called ooids, usually formed in shallow marine environments."
Oolite,It can be white to gray to yellow in color and has a dull luster.
Oolite,Sedimentary rock composed of small spherical grains called ooids.
Oolite,"sedimentary rock with an oolitic structure, composed of small spherical grains (ooids) formed by the precipitation of calcium carbonate."
Oolite,"Light-colored sedimentary rock composed of ooids, found in shallow marine environments."
Oolite,"sedimentary rock composed of small spherical grains called ooids, typically formed in shallow marine environments."
Oolite,"a sedimentary rock that is composed of ooids, which are small spherical grains that are composed of concentric layers"
Oolite,sedimentary rock composed mainly of small spherical grains called ooids which are made up of concentric layers of calcium carbonate.
Oolite,"composed of small, spherical grains called ooids. These ooids are typically made of calcium carbonate and have a concentric structure. Oolite often has a grain size ranging from 0.25 to 2 millimeters. It can have a variety of colors, including white, yellow, and brown"
Oolite,"sedimentary rock with an oolitic structure, composed of small spherical grains (ooids) formed by the precipitation of calcium carbonate."
Oolite,"composed of small, spherical grains called ooids. These ooids are typically made of calcium carbonate and have a concentric structure. Oolite often has a grain size ranging from 0.25 to 2 millimeters. It can have a variety of colors, including white, yellow, and brown"
Oolite,"sedimentary rock with an oolitic fabric, composed of small spherical grains (ooids) formed by the precipitation of calcium carbonate"
Oolite,"sedimentary rock composed of small spherical grains called ooids, primarily composed of calcium carbonate or silica."
Oolite,"sedimentary rock composed of small spherical grains called ooids, typically found in marine or coastal environments."
Oolite,A sedimentary rock composed mainly of small spherical grains called ooids which are made up of concentric layers of calcium carbonate.
Oolite,"Light-colored sedimentary rock composed of ooids, found in shallow marine environments."
Oolite,"sedimentary rock composed of small spherical grains called ooids, often exhibiting light colors such as white, cream, or beige."
Oolite,Sedimentary rock with a spherical or granular texture.
Oolite,"sedimentary rock composed of small spherical grains called ooids, typically formed in shallow marine environments."
Pegmatite,"light-colored, extremely coarse-grained intrusive igneous rock. It forms near the margins of a magma chamber during the final phases of magma chamber crystallization"
Pegmatite,very coarse any color  usually in small intrusive bodies typically granitic in nature
Pegmatite,it is usually light-colored with a coarse-grained texture.
Pegmatite,very coarse any color  usually in small intrusive bodies typically granitic in nature
Pegmatite,"igneous rock with a coarse-grained structure, consisting of exceptionally large crystals embedded in a fine-grained matrix."
Pegmatite,"Coarse-grained igneous rock with large crystals, often containing minerals like quartz and feldspar."
Pegmatite,"An igneous rock with a coarse-grained structure, consisting of exceptionally large crystals embedded in a fine-grained matrix."
Pegmatite,Coarse-grained rock with large crystals and a granular texture
Pegmatite,"igneous rock with a coarse-grained fabric, consisting of exceptionally large crystals embedded in a fine-grained matrix."
Pegmatite,"intrusive igneous rock characterized by exceptionally large crystals, often composed of minerals such as quartz, feldspar, and mica."
Pegmatite,an intrusive igneous rock that is composed of large crystals of feldspar and quartz. 
Pegmatite,"An intrusive igneous rock characterized by its exceptionally large crystals, commonly containing minerals like quartz, feldspar, and mica, and sometimes hosting rare mineral deposits."
Pegmatite,"coarse-grained igneous rock characterized by exceptionally large crystals, often containing minerals like quartz, feldspar, and mica."
Pegmatite,"intrusive igneous rock with a coarse-grained texture, often containing oversized crystals and exhibiting a variety of colors."
Pegmatite,"An intrusive igneous rock with exceptionally large crystals, often containing rare minerals due to its late-stage crystallization."
Pegmatite,An intrusive igneous rock with very large crystals (greater than 1 centimeter in diameter).
Pegmatite,"Light-colored intrusive igneous rock with large crystals, found in pegmatite veins."
Pegmatite,"coarse-grained igneous rock characterized by exceptionally large crystals, often containing minerals like quartz, feldspar, and mica."
Pegmatite,"intrusive igneous rock with exceptionally large crystals, commonly associated with the late-stage crystallization of magma."
Pegmatite,"Light-colored intrusive igneous rock with large crystals, found in pegmatite veins."
Phyllite,is a metamorphic rock that forms from other rocks such as shale or slate.
